Date,return
2012-01-01,1.6666666666666667e-05
2012-02-01,4.9999999999999996e-05
2012-03-01,4.9999999999999996e-05
2012-04-01,5.833333333333334e-05
2012-05-01,5.833333333333334e-05
2012-06-01,4.166666666666667e-05
2012-07-01,5.833333333333334e-05
2012-08-01,7.5e-05
2012-09-01,5.833333333333334e-05
2012-10-01,9.166666666666667e-05
2012-11-01,0.00010833333333333334
2012-12-01,3.3333333333333335e-05
2013-01-01,4.166666666666667e-05
2013-02-01,6.666666666666667e-05
2013-03-01,6.666666666666667e-05
2013-04-01,4.166666666666667e-05
2013-05-01,1.6666666666666667e-05
2013-06-01,2.4999999999999998e-05
2013-07-01,1.6666666666666667e-05
2013-08-01,3.3333333333333335e-05
2013-09-01,1.6666666666666667e-05
2013-10-01,9.166666666666667e-05
2013-11-01,4.166666666666667e-05
2013-12-01,1.6666666666666667e-05
2014-01-01,1.6666666666666667e-05
2014-02-01,4.166666666666667e-05
2014-03-01,4.166666666666667e-05
2014-04-01,1.6666666666666667e-05
2014-05-01,2.4999999999999998e-05
2014-06-01,1.6666666666666667e-05
2014-07-01,1.6666666666666667e-05
2014-08-01,2.4999999999999998e-05
2014-09-01,8.333333333333334e-06
2014-10-01,1.6666666666666667e-05
2014-11-01,3.3333333333333335e-05
2014-12-01,2.4999999999999998e-05
2015-01-01,1.6666666666666667e-05
2015-02-01,1.6666666666666667e-05
2015-03-01,1.6666666666666667e-05
2015-04-01,1.6666666666666667e-05
2015-05-01,8.333333333333334e-06
2015-06-01,0.0
2015-07-01,2.4999999999999998e-05
2015-08-01,2.4999999999999998e-05
2015-09-01,0.0
2015-10-01,8.333333333333334e-06
2015-11-01,5.833333333333334e-05
2015-12-01,0.00014166666666666668
2016-01-01,0.00018333333333333334
2016-02-01,0.00020833333333333335
2016-03-01,0.00020833333333333335
2016-04-01,0.00015833333333333332
2016-05-01,0.00018333333333333334
2016-06-01,0.00018333333333333334
2016-07-01,0.00021666666666666668
2016-08-01,0.00021666666666666668
2016-09-01,0.00015
2016-10-01,0.00019999999999999998
2016-11-01,0.00024166666666666664
2016-12-01,0.00034166666666666666
2017-01-01,0.0004083333333333333
2017-02-01,0.00039166666666666663
2017-03-01,0.0005416666666666666
2017-04-01,0.0006083333333333333
2017-05-01,0.0005916666666666667
2017-06-01,0.0006833333333333333
2017-07-01,0.0007916666666666666
2017-08-01,0.0007999999999999999
2017-09-01,0.0008166666666666666
2017-10-01,0.0008166666666666666
2017-11-01,0.0008916666666666667
2017-12-01,0.0009833333333333332
2018-01-01,0.0010583333333333334
2018-02-01,0.0011333333333333334
2018-03-01,0.0013416666666666668
2018-04-01,0.0013583333333333331
2018-05-01,0.0013916666666666667
2018-06-01,0.001475
2018-07-01,0.0015500000000000002
2018-08-01,0.0015916666666666666
2018-09-01,0.0016666666666666668
2018-10-01,0.0017833333333333334
2018-11-01,0.001825
2018-12-01,0.0019333333333333331
2019-01-01,0.0019666666666666665
2019-02-01,0.0019916666666666668
2019-03-01,0.0020083333333333333
2019-04-01,0.001983333333333333
2019-05-01,0.0019666666666666665
2019-06-01,0.0018166666666666667
2019-07-01,0.0017583333333333333
2019-08-01,0.0016916666666666664
2019-09-01,0.001625
2019-10-01,0.0014166666666666666
2019-11-01,0.0012916666666666667
2019-12-01,0.0012666666666666666
2020-01-01,0.00125
