,equal,market,min_var_mark_return,equal_var_max_return,beta_scaled,markowitz,treynor
DG,0.16666666666666666,0.0,0.02574851161905333,-0.0011432595269479135,0.1657659507389108,0.01744218023268737,0.08316238837531047
MRK,0.16666666666666666,0.0,0.10060978921401802,0.015739273924639963,0.15295362345793023,0.07284840281400957,0.37916673404567225
CB,0.16666666666666666,0.0,0.04692260606389223,0.027365310868598038,0.1808168765957512,0.03642242375063661,0.32915939129698907
NOC,0.16666666666666666,0.0,0.05316085711204332,0.29551220260389605,0.13445747026774885,0.13321791609563552,-0.03503504573029257
BP,0.16666666666666666,0.0,0.037609761406584494,-0.023063665631716638,0.17732644963458657,0.015317671504741257,-0.00808568240108949
SPY,0.16666666666666666,1.0,0.7359484745844086,0.6855901377615305,0.18867962930507226,0.7247514056022897,0.2516322144134103
