,DG,MRK,CB,NOC,BP,SPY,rates
DG,1.0,0.10490085150184689,0.31627714440835075,0.2716320734453439,0.08502707837940854,0.36659986125078275,0.026472693243274836
MRK,0.10490085150184689,1.0,0.2639527593886397,0.2693439918760196,0.20818048753969706,0.4655237061370625,-0.15727877962585024
CB,0.31627714440835075,0.2639527593886397,1.0,0.38251140274535367,0.23528093488376414,0.7032146424603725,0.028874138368645948
NOC,0.2716320734453439,0.2693439918760196,0.38251140274535367,1.0,0.194356434078166,0.4637898680018547,-0.04683083838011754
BP,0.08502707837940854,0.20818048753969706,0.23528093488376414,0.194356434078166,1.0,0.4198224183650409,0.14266105765799436
SPY,0.36659986125078275,0.4655237061370625,0.7032146424603725,0.4637898680018547,0.4198224183650409,1.0,0.04963556212048476
rates,0.026472693243274836,-0.15727877962585024,0.028874138368645948,-0.04683083838011754,0.14266105765799436,0.04963556212048476,1.0
