Date,equal,market,min_var_mark_return,equal_var_max_return,beta_scaled,markowitz,treynor
2012-12-01,-0.02915053674910386,0.0017957909084868667,-0.00843069325211124,0.004324041276152714,-0.028317503550597208,-0.00431901349080608,-0.036232288083691944
2013-01-01,0.04275866620033003,0.05114850814717583,0.04840724967706666,0.02508098596520952,0.04599670024512811,0.04058796407043014,0.061818891053043175
2013-02-01,-0.013177910321003966,0.012692211344533334,0.0052560048506107146,0.013549968111399132,-0.014027990213576941,0.008268711078874762,-0.0005640348039162562
2013-03-01,0.05285410151246584,0.033308420508485835,0.03771333553297604,0.04339765749820651,0.051950315799611665,0.03955683884092377,0.04001030042171026
2013-04-01,0.0372129052768665,0.019170658848266936,0.026675713809708672,0.03701286641400842,0.03451527404465123,0.030155394887551284,0.028893564542025105
2013-05-01,0.018131609169531583,0.02359307885730763,0.021424256326643482,0.042530754675703136,0.015815625297669434,0.028542097364722196,0.0036835047948530443
2013-06-01,-0.015574592291852483,-0.0185627733595186,-0.0162277785593124,-0.010728841304498556,-0.01635131769889867,-0.01446911751450384,-0.011140322647798231
2013-07-01,0.04976081970750893,0.05166023835361624,0.05057652561473047,0.06969484484341246,0.04693657792446603,0.05716204595057853,0.03714838298998198
2013-08-01,-0.017069134347355686,-0.030025703614012633,-0.026159022707070954,-0.021212738404217883,-0.018143540414571748,-0.024531190204100977,-0.028808308961723605
2013-09-01,0.03268360612246619,0.02662556467982503,0.02697073849525111,0.029292996042664613,0.03322246780014883,0.027602508228095242,0.033725650228406595
2013-10-01,0.045208043811560114,0.04621509026169344,0.04104343301099168,0.06689449592701623,0.04420824289478565,0.04951330418651807,-0.005315534428424957
2013-11-01,0.0426559948984116,0.029596010149214334,0.03854980742746666,0.038011187296943305,0.04153621517089043,0.03821814423237079,0.0696074524276277
2013-12-01,0.02375386225406606,0.020370084714548733,0.019492585623376604,0.018438201176034747,0.024003006371134835,0.019184566356970977,0.013250535355269663
2014-01-01,-0.027397908987864233,-0.035264968846012566,-0.027095450272196283,-0.022517908396831376,-0.030883999510764322,-0.025338397106795568,-0.023184463511431757
2014-02-01,0.05912703464460693,0.04547410569055873,0.05026348716259575,0.045654669148349473,0.05896157221606404,0.048692738877084786,0.05741623385657224
2014-03-01,-0.015342417471568616,0.0038232859719862333,0.00025185288917288474,0.009846142755806227,-0.016119952841826456,0.0034610131231318036,-0.002946396160269065
2014-04-01,0.0209716159364508,0.006934849480906133,0.011426013846352511,0.0004390659853013415,0.022188995408291536,0.007602277320893693,0.02606681026230448
2014-05-01,-0.004245201554551433,0.0231813886485729,0.015166167259407032,0.016297301951644274,-0.0033821634880473,0.015588222799363026,0.0018498395631362551
2014-06-01,0.018628238627945205,0.015760830273557933,0.014161747948267349,0.004999385608177792,0.019911347804687656,0.011157092617776922,0.00957689588834297
2014-07-01,-0.024301032756598097,-0.013454256011457066,-0.015499119287460025,0.00020541661049719963,-0.026535399278914924,-0.010109686415378797,-0.025674980462820747
2014-08-01,0.05475378070370688,0.039438520419773505,0.04283362795345451,0.039488891988166096,0.05426776248345338,0.0418516365016427,0.06516585506175492
2014-09-01,-0.02276786161002538,-0.018393081832694332,-0.01789197765727207,-0.0007332915099368352,-0.025153168225552174,-0.012115213634416014,-0.018725393952335245
2014-10-01,0.0174205109077331,0.023534241392394933,0.019762976319630726,0.031063193203620738,0.01718920299102758,0.023486859934447355,0.011807710182374916
2014-11-01,0.01784207609445523,0.027438613954736867,0.02585386969123969,0.029215820973629722,0.016749736869448438,0.027190961431112704,0.04357295271816073
2014-12-01,0.0019078727414317,-0.008036602432600301,-0.008896005491081825,0.007852705481935812,0.0007627595670717524,-0.0033394778651705272,-0.019573317408295515
2015-01-01,0.0005817927407411333,-0.02964591745680367,-0.015642860005338627,-0.0022145595666241847,-0.0036097591199958172,-0.011179558373392778,-0.010702995993660733
2015-02-01,0.04820325375954946,0.05618793182224673,0.04870233205599486,0.05444455368222281,0.04947338633877483,0.05056715867525975,0.02602346110653947
2015-03-01,-0.017879141009171533,-0.02009646786139167,-0.020313158746938127,-0.021890437952124933,-0.018095943892600372,-0.020710647994000606,-0.014591052614359477
2015-04-01,0.005116578781983234,0.009817243466731433,0.00966451446420824,-0.008862154973627195,0.0067861985767085084,0.0035175822818224204,0.000616207380790748
2015-05-01,0.0037831684101357174,0.012847811298763766,0.011726105885155571,0.019797699098149116,0.002199361617259695,0.014575380697140938,0.009136805053347598
2015-06-01,-0.017309477667570367,-0.0250544331962414,-0.026814800660270494,-0.019701993755229512,-0.017945323782523764,-0.024314852241490877,-0.03948824030008511
2015-07-01,0.029580458872784814,0.0225642342213485,0.02633492766133076,0.04640690058205734,0.026827522576188804,0.03300417511006007,0.042373740567401535
2015-08-01,-0.0713432831344062,-0.060975128266033296,-0.0646739545416736,-0.05844921036459208,-0.07155369940066986,-0.06256093335197464,-0.07168405435377097
2015-09-01,-0.034018897916954415,-0.0305559420302112,-0.0335835222769939,-0.015851098373264445,-0.034741073651258614,-0.027779809690849713,-0.0371402842724453
2015-10-01,0.08747810652064997,0.08505135238759537,0.08957721603029774,0.0976852212374944,0.0868947860769755,0.09193568214556352,0.0828088519859399
2015-11-01,-0.014730528575056866,0.0035967863010909666,-0.0023131175900977224,0.0008508471724541166,-0.014131484536008813,-0.0012537403454527848,-0.009174078488304935
2015-12-01,0.0008766282310249482,-0.023238158850321797,-0.017071679867684063,-0.009557826215619701,-0.0008776356082064595,-0.014512389868013406,0.006952664332771443
