,DG,MRK,CB,NOC,BP,SPY,rates
DG,0.004508122381037323,0.0003424458942001458,0.0008105542342774958,0.0007840402668169025,0.0003588692131509902,0.0006894544622445617,4.232178623481915e-07
MRK,0.0003424458942001458,0.002363905999797306,0.0004898439282464143,0.0005629656080288811,0.000636262342515457,0.0006339753104866067,-1.8207622710517258e-06
CB,0.0008105542342774958,0.0004898439282464143,0.0014569103966063988,0.000627653966564728,0.0005645263990491436,0.0007518302025703922,2.6241790741615827e-07
NOC,0.0007840402668169025,0.0005629656080288811,0.000627653966564728,0.0018480722287819427,0.0005252178651602947,0.000558465268496861,-4.79357378462372e-07
BP,0.0003588692131509902,0.000636262342515457,0.0005645263990491436,0.0005252178651602947,0.003951501896047,0.0007392003523911465,2.135278613210796e-06
SPY,0.0006894544622445617,0.0006339753104866067,0.0007518302025703922,0.000558465268496861,0.0007392003523911465,0.0007845685294684549,3.3103689507378927e-07
rates,4.232178623481915e-07,-1.8207622710517258e-06,2.6241790741615827e-07,-4.79357378462372e-07,2.135278613210796e-06,3.3103689507378927e-07,5.6693859990897314e-08
