,average_return,total_return,std_dev,sharpe_ratio
equal,0.011120430898532206,0.06672258539119323,0.04249241805413719,0.2617038852522888
market,0.005237228485600184,0.031423370913601104,0.035560259604781874,0.14727756613160162
min_var_mark_return,0.006668886557542092,0.040013319345252554,0.03644295300164593,0.1829952297565155
equal_var_max_return,0.007627490937788803,0.04576494562673282,0.038646919015118804,0.1973634931882902
beta_scaled,0.010474965734778038,0.06284979440866822,0.04302892654312987,0.24344008964012845
markowitz,0.0070628762805402465,0.04237725768324148,0.03599289735660144,0.19622972306353792
treynor,0.0026556199592308815,0.015933719755385288,0.04853495013498758,0.0547156214613377
