,average_return,total_return,std_dev,sharpe_ratio
equal,0.007442179761015064,0.08930615713218076,0.03560079315450775,0.20904533583608484
market,0.004855144478675156,0.05826173374410187,0.03563143109291341,0.13626015935242006
min_var_mark_return,0.006069063366694968,0.07282876040033961,0.03410744184547663,0.17793956504245584
equal_var_max_return,0.0009487510352024636,0.011385012422429563,0.04216486322329662,0.02250098690414503
beta_scaled,0.007284917175014505,0.08741900610017406,0.03557002732694067,0.20480493613500605
markowitz,0.0044703619766511896,0.053644343719814275,0.03592459579383299,0.12443736325680792
treynor,0.008766743255704578,0.10520091906845494,0.03997302520928829,0.21931648179751737
